question_id ;question_english;correct_answer_english;incorrect_answer_1_english;incorrect_answer_2_english;incorrect_answer_3_english;question_french;correct_answer_french;incorrect_answer_1_french;incorrect_answer_2_french;incorrect_answer_3_french
A-001-002-005;Why is the resistance of a conductor different for RF currents than for direct currents?;Because of skin effect;Because of the Hertzberg effect;Because conductors are non-linear devices;Because the insulation conducts current at high frequencies;Pourquoi la résistance d'un conducteur diffère-t-elle lorsqu'il s'agit de courant RF au lieu de courant continu?;En raison de l'effet pelliculaire ("skin effect");En raison de l'effet d'Hertzberg;Parce que les conducteurs ne sont pas des dispositifs linéaires;Parce que l'isolant conduit le courant aux hautes fréquences
A-001-002-006;What unit measures the ability of a capacitor to store electrical charge?;Farad;Coulomb;Watt;Volt;Quelle unité mesure l'aptitude d'un condensateur à emmagasiner une charge électrique?;Farad;Coulomb;Watt;Volt
A-001-002-007;A wire has a current passing through it. Surrounding this wire there is:;an electromagnetic field;an electrostatic field;a cloud of electrons;a skin effect that diminishes with distance;Un courant circule dans un fil conducteur. Que trouve-t-on autour de ce fil?;Un champ électromagnétique;Un champ électrostatique;Un nuage d'électrons;Un effet pelliculaire ("skin effect") qui diminue avec la distance
A-001-002-008;In what direction is the magnetic field oriented about a conductor in relation to the direction of electron flow?;In the direction determined by the left-hand rule;In all directions;In the same direction as the current;In the direct opposite to the current;Dans quelle direction est orienté le champ magnétique autour d'un conducteur par rapport à la direction de la circulation des électrons?;Dans la direction déterminée par la règle de la main gauche;Dans toutes les directions;Dans la même direction que le courant;Dans la direction opposée au courant
A-001-002-009;What is the term for energy that is stored in an electromagnetic or electrostatic field?;Potential energy;Kinetic energy;Ampere-joules;Joule-coulombs;Comment appelle-t-on l'énergie emmagasinée dans un champ électromagnétique ou électrostatique?;L'énergie potentielle;L'énergie cinétique;Les ampères-joules;Les joules-coulombs
A-001-002-010;Between the charged plates of a capacitor there is:;an electrostatic field;a magnetic field;a cloud of electrons;an electric current;Que trouve-t-on entre les plaques d'un condensateur?;Un champ électrostatique;Un champ magnétique;Un nuage d'électrons;Un courant électrique
A-001-002-011;Energy is stored within an inductor that is carrying a current. The amount of energy depends on this current, but it also depends on a property of the inductor. This property has the following unit:;henry;coulomb;farad;watt;Une bobine, où circule un courant, emmagasine de l'énergie. La quantité d'énergie est influencée par le courant, mais aussi par une propriété de la bobine. Quelle unité caractérise cette propriété?;Henry;Coulomb;Farad;Watt
A-001-003-001;What is the resonant frequency of a series RLC circuit if R is 47 ohms, L is 50 microhenrys and C is 40 picofarads?;3.56 MHz;1.78 MHz;7.96 MHz;79.6 MHz;Quelle est la fréquence de résonance d'un circuit RLC en série si R = 47 ohms, L = 50 microhenrys et C = 40 picofarads?;3,56 MHz;1,78 MHz;7,96 MHz;79,6 MHz
A-001-003-002;What is the resonant frequency of a series RLC circuit, if R is 47 ohms, L is 40 microhenrys and C is 200 picofarads?;1.78 MHz;1.99 kHz;1.99 MHz;1.78 kHz;Quelle est la fréquence de résonance d'un circuit RLC en série si R = 47 ohms, L = 40 microhenrys et C = 200 picofarads?;1,78 MHz;1,99 kHz;1,99 MHz;1,78 kHz
A-001-003-003;What is the resonant frequency of a series RLC circuit, if R is 47 ohms, L is 50 microhenrys and C is 10 picofarads?;7.12 MHz;7.12 kHz;3.18 MHz;3.18 kHz;Quelle est la fréquence de résonance d'un circuit RLC en série si R = 47 ohms, L = 50 microhenrys et C = 10 picofarads?;7,12 MHz;7,12 kHz;3,18 MHz;3,18 kHz
A-001-003-004;What is the resonant frequency of a series RLC circuit, if R is 47 ohms, L is 25 microhenrys and C is 10 picofarads?;10.1 MHz;63.7 MHz;10.1 kHz;63.7 kHz;Quelle est la fréquence de résonance d'un circuit RLC en série si R = 47 ohms, L = 25 microhenrys et C = 10 picofarads?;10,1 MHz;63,7 MHz;10,1 kHz;63,7 kHz
A-001-003-005;What is the resonant frequency of a series RLC circuit, if R is 47 ohms, L is 3 microhenrys and C is 40 picofarads?;14.5 MHz;13.1 MHz;13.1 kHz;14.5 kHz;Quelle est la fréquence de résonance d'un circuit RLC en série si R = 47 ohms, L = 3 microhenrys et C = 40 picofarads?;14,5 MHz;13,1 MHz;13,1 kHz;14,5 kHz
A-001-003-006;What is the resonant frequency of a series RLC circuit, if R is 47 ohms, L is 4 microhenrys and C is 20 picofarads?;17.8 MHz;19.9 MHz;19.9 kHz;17.8 kHz;Quelle est la fréquence de résonance d'un circuit RLC en série si R = 47 ohms, L = 4 microhenrys et C= 20 picofarads?;17,8 MHz;19,9 MHz;19,9 kHz;17,8 kHz
A-001-003-007;What is the resonant frequency of a series RLC circuit, if R is 47 ohms, L is 8 microhenrys and C is 7 picofarads?;21.3 MHz;28.4 MHz;2.84 MHz;2.13 MHz;Quelle est la fréquence de résonance d'un circuit RLC en série si R = 47 ohms, L = 8 microhenrys et C = 7 picofarads?;21,3 MHz;28,4 MHz;2,84 MHz;2,13 MHz
A-001-003-008;What is the resonant frequency of a series RLC circuit, if R is 47 ohms, L is 3 microhenrys and C is 15 picofarads?;23.7 MHz;35.4 MHz;35.4 kHz;23.7 kHz;Quelle est la fréquence de résonance d'un circuit RLC en série si R = 47 ohms, L = 3 microhenrys et C = 15 picofarads?;23,7 MHz;35,4 MHz;35,4 kHz;23,7 kHz
A-001-003-009;What is the resonant frequency of a series RLC circuit, if R is 47 ohms, L is 4 microhenrys and C is 8 picofarads?;28.1 MHz;49.7 MHz;49.7 kHz;28.1 kHz;Quelle est la fréquence de résonance d'un circuit RLC en série si R = 47 ohms, L = 4 microhenrys et C = 8 picofarads?;28,1 MHz;49,7 MHz;49,7 kHz;28,1 kHz
A-001-003-010;What is the resonant frequency of a series RLC circuit, if R is 47 ohms, L is 1 microhenry and C is 9 picofarads?;53.1 MHz;5.31 MHz;17.7 MHz;1.77 MHz;Quelle est la fréquence de résonance d'un circuit RLC en série si R = 47 ohms, L = 1 microhenry et C = 9 picofarads?;53,1 MHz;5,31 MHz;17,7 MHz;1,77 MHz
A-001-003-011;What is the value of capacitance (C) in a series R-L-C circuit, if the circuit resonant frequency is 14.25 MHz and L is 2.84 microhenrys?;44 picofarads;2.2 microfarads;44 microfarads;2.2 picofarads;Quel est la valeur de la capacité (C) dans un circuit RLC en série si la fréquence de résonance du circuit est 14,25 MHz et L = 2,84 microhenrys?;44 picofarads;2,2 microfarads;44 microfarads;2,2 picofarads
A-001-004-001;What is the resonant frequency of a parallel RLC circuit if R is 4.7 kilohms, L is 1 microhenry and C is 10 picofarads?;50.3 MHz;15.9 kHz;50.3 kHz;15.9 MHz;Quelle est la fréquence de résonance d'un circuit RLC parallèle si R = 4,7 kilohms, L = 1 microhenry et C = 10 picofarads?;50,3 MHz;15,9 kHz;50,3 kHz;15,9 MHz
A-001-004-002;What is the resonant frequency of a parallel RLC circuit if R is 4.7 kilohms, L is 2 microhenrys and C is 15 picofarads?;29.1 MHz;29.1 kHz;5.31 MHz;5.31 kHz;Quelle est la fréquence de résonance d'un circuit RLC parallèle si R = 4,7 kilohms, L = 2 microhenrys et C = 15 picofarads?;29,1 MHz;29,1 kHz;5,31 MHz;5,31 kHz
A-001-004-003;What is the resonant frequency of a parallel RLC circuit if R is 4.7 kilohms, L is 5 microhenrys and C is 9 picofarads?;23.7 MHz;23.7 kHz;3.54 MHz;3.54 kHz;Quelle est la fréquence de résonance d'un circuit RLC parallèle si R = 4,7 kilohms, L = 5 microhenrys et C = 9 picofarads?;23,7 MHz;23,7 kHz;3,54 MHz;3,54 kHz
A-001-004-004;What is the resonant frequency of a parallel RLC circuit if R is 4.7 kilohms, L is 2 microhenrys and C is 30 picofarads?;20.5 MHz;2.65 MHz;2.65 kHz;20.5 kHz;Quelle est la fréquence de résonance d'un circuit RLC parallèle si R = 4,7 kilohms, L = 2 microhenrys et C = 30 picofarads?;20,5 MHz;2,65 MHz;2,65 kHz;20,5 kHz
A-001-004-005;What is the resonant frequency of a parallel RLC circuit if R is 4.7 kilohms, L is 15 microhenrys and C is 5 picofarads?;18.4 MHz;2.12 kHz;2.12 MHz;18.4 kHz;Quelle est la fréquence de résonance d'un circuit RLC parallèle si R = 4,7 kilohms, L = 15 microhenrys et C = 5 picofarads?;18,4 MHz;2,12 kHz;2,12 MHz;18,4 kHz
A-001-004-006;What is the resonant frequency of a parallel RLC circuit if R is 4.7 kilohms, L is 3 microhenrys and C is 40 picofarads?;14.5 MHz;1.33 kHz;1.33 MHz;14.5 kHz;Quelle est la fréquence de résonance d'un circuit RLC parallèle si R = 4,7 kilohms, L = 3 microhenrys et C = 40 picofarads?;14,5 MHz;1,33 kHz;1,33 MHz;14,5 kHz
A-001-004-007;What is the resonant frequency of a parallel RLC circuit if R is 4.7 kilohms, L is 40 microhenrys and C is 6 picofarads?;10.3 MHz;6.63 MHz;6.63 kHz;10.3 kHz;Quelle est la fréquence de résonance d'un circuit RLC parallèle si R = 4,7 kilohms, L = 40 microhenrys et C = 6 picofarads?;10,3 MHz;6,63 MHz;6,63 kHz;10,3 kHz
A-001-004-008;What is the resonant frequency of a parallel RLC circuit if R is 4.7 kilohms, L is 10 microhenrys and C is 50 picofarads?;7.12 MHz;7.12 kHz;3.18 MHz;3.18 kHz;Quelle est la fréquence de résonance d'un circuit RLC parallèle si R = 4,7 kilohms, L = 10 microhenrys et C = 50 picofarads?;7,12 MHz;7,12 kHz;3,18 MHz;3,18 kHz
A-001-004-009;What is the resonant frequency of a parallel RLC circuit if R is 4.7 kilohms, L is 200 microhenrys and C is 10 picofarads?;3.56 MHz;3.56 kHz;7.96 MHz;7.96 kHz;Quelle est la fréquence de résonance d'un circuit RLC parallèle si R = 4,7 kilohms, L = 200 microhenrys et C = 10 picofarads?;3,56 MHz;3,56 kHz;7,96 MHz;7,96 kHz
A-001-004-010;What is the resonant frequency of a parallel RLC circuit if R is 4.7 kilohms, L is 90 microhenrys and C is 100 picofarads?;1.68 MHz;1.77 kHz;1.77 MHz;1.68 kHz;Quelle est la fréquence de résonance d'un circuit RLC parallèle si R = 4,7 kilohms, L = 90 microhenrys et C = 100 picofarads?;1,68 MHz;1,77 kHz;1,77 MHz;1,68 kHz
A-001-004-011;What is the value of inductance (L) in a parallel RLC circuit, if the resonant frequency is 14.25 MHz and C is 44 picofarads?;2.8 microhenrys;253.8 millihenrys;3.9 millihenrys;0.353 microhenry;Quelle est la valeur de l'inductance (L) dans un circuit RLC parallèle, si la fréquence de résonance est 14,25 MHz et C = 44 picofarads?;2,8 microhenrys;253,8 millihenrys;3,9 millihenrys;0,353 microhenry
A-001-005-001;What is the Q of a parallel RLC circuit, if it is resonant at 14.128 MHz, L is 2.7 microhenrys and R is 18 kilohms?;75.1;7.51;0.013;71.5;Quel est le facteur de qualité (Q) d'un circuit RLC parallèle quand la résonance = 14,128 MHz, L= 2,7 microhenrys et R = 18 kilohms?;75,1;7,51;0,013;71,5
A-001-005-002;What is the Q of a parallel RLC circuit, if it is resonant at 14.128 MHz, L is 4.7 microhenrys and R is 18 kilohms?;43.1;13.3;0.023;4.31;Quel est le facteur de qualité (Q) d'un circuit RLC parallèle quand la résonance = 14,128 MHz, L = 4,7 microhenrys et R = 18 kilohms?;43,1;13,3;0,023;4,31
A-001-005-003;What is the Q of a parallel RLC circuit, if it is resonant at 4.468 MHz, L is 47 microhenrys and R is 180 ohms?;0.136;7.35;0.00735;13.3;Quel est le facteur de qualité (Q) d'un circuit RLC parallèle quand la résonance = 4,468 MHz, L = 47 microhenrys et R = 180 ohms?;0,136;7,35;0,00735;13,3
A-001-005-004;What is the Q of a parallel RLC circuit, if it is resonant at 14.225 MHz, L is 3.5 microhenrys and R is 10 kilohms?;31.9;7.35;0.0319;71.5;Quel est le facteur de qualité (Q) d'un circuit RLC parallèle quand la résonance = 14,225 MHz, L = 3,5 microhenrys et R = 10 kilohms?;31,9;7,35;0,0319;71,5
A-001-005-005;What is the Q of a parallel RLC circuit, if it is resonant at 7.125 MHz, L is 8.2 microhenrys and R is 1 kilohm?;2.73;36.8;0.368;0.273;Quel est le facteur de qualité (Q) d'un circuit RLC parallèle quand la résonance = 7,125 MHz, L = 8,2 microhenrys et R = 1 kilohm?;2,73;36,8;0,368;0,273
A-001-005-006;What is the Q of a parallel RLC circuit, if it is resonant at 7.125 MHz, L is 10.1 microhenrys and R is 100 ohms?;0.221;22.1;0.00452;4.52;Quel est le facteur de qualité (Q) d'un circuit RLC parallèle quand la résonance = 7,125 MHz, L = 10,1 microhenrys et R = 100 ohms?;0,221;22,1;0,00452;4,52
A-001-005-007;What is the Q of a parallel RLC circuit, if it is resonant at 7.125 MHz, L is 12.6 microhenrys and R is 22 kilohms?;39;22.1;0.0256;25.6;Quel est le facteur de qualité (Q) d'un circuit RLC parallèle quand la résonance = 7,125 MHz, L = 12,6 microhenrys et R = 22 kilohms?;39;22,1;0,0256;25,6
A-001-005-008;What is the Q of a parallel RLC circuit, if it is resonant at 3.625 MHz, L is 3 microhenrys and R is 2.2 kilohms?;32.2;25.6;31.1;0.031;Quel est le facteur de qualité (Q) d'un circuit RLC parallèle quand la résonance = 3,625 MHz, L = 3 microhenrys et R = 2,2 kilohms?;32,2;25,6;31,1;0,031
A-001-005-009;What is the Q of a parallel RLC circuit, if it is resonant at 3.625 MHz, L is 42 microhenrys and R is 220 ohms?;0.23;2.3;4.35;0.00435;Quel est le facteur de qualité (Q) d'un circuit RLC parallèle quand la résonance = 3,625 MHz, L = 42 microhenrys et R = 220 ohms?;0,23;2,3;4,35;0,00435
A-001-005-010;What is the Q of a parallel RLC circuit, if it is resonant at 3.625 MHz, L is 43 microhenrys and R is 1.8 kilohms?;1.84;0.543;54.3;23;Quel est le facteur de qualité (Q) d'un circuit RLC parallèle quand la résonance = 3,625 MHz, L = 43 microhenrys et R = 1,8 kilohm?;1,84;0,543;54,3;23
A-001-005-011;Why is a resistor often included in a parallel resonant circuit ?;To decrease the Q and increase the bandwidth;To increase the Q and decrease the skin effect;To decrease the Q and increase the resonant frequency;To increase the Q and decrease bandwidth;Pourquoi ajoute-t-on souvent une résistance dans un circuit résonant parallèle?;Pour diminuer le facteur Q et augmenter la largeur de bande;Pour augmenter le facteur Q et diminuer l'effet pelliculaire ("skin effect");Pour diminuer le facteur Q et augmenter la fréquence de résonance;Pour augmenter le facteur Q et diminuer la largeur de bande
A-002-001-001;What two elements widely used in semiconductor devices exhibit both metallic and non-metallic characteristics?;Silicon and germanium;Galena and germanium;Galena and bismuth;Silicon and gold;Quels sont les deux éléments largement utilisés dans les semi-conducteurs qui possèdent à la fois des caractéristiques métalliques et des caractéristiques non métalliques?;Le silicium et le germanium;La galène et le germanium;La galène et le bismuth;Le silicium et l'or
A-002-001-002;In what application is gallium-arsenide used as a semiconductor material in preference to germanium or silicon?;At microwave frequencies;In high-power circuits;At very low frequencies;In bipolar transistors;Quand utilise-t-on l'arséniure de gallium plutôt que le germanium ou le silicium comme matériau semi-conducteur?;Aux fréquences micro-ondes;Dans les circuits à haute puissance;Aux très basses fréquences;Dans les transistors bipolaires
A-002-001-003;What type of semiconductor material contains fewer free electrons than pure germanium or silicon crystals?;P-type;N-type;Bipolar type;Superconductor type;Quel type de matériau semi-conducteur contient moins d'électrons libres que les cristaux purs de germanium ou de silicium?;Le type P;Le type N;Le type bipolaire;Le type supraconducteur
A-002-001-004;What type of semiconductor material contains more free electrons than pure germanium or silicon crystals?;N-type;P-type;Bipolar;Superconductor;Quel type de matériau semi-conducteur contient plus d'électrons libres que les cristaux purs de germanium ou de silicium?;Le type N;Le type P;Le type bipolaire;Le type supraconducteur
A-002-001-005;What are the majority charge carriers in P-type semiconductor material?;Holes;Free electrons;Free protons;Free neutrons;Quels sont les porteurs de charge majoritaires dans un matériau semi-conducteur de type P?;Les trous;Les électrons libres;Les protons libres;Les neutrons libres
A-002-001-006;What are the majority charge carriers in N-type semiconductor material?;Free electrons;Holes;Free protons;Free neutrons;Quels sont les porteurs de charge majoritaires dans un matériau semi-conducteur de type N?;Les électrons libres;Les trous;Les protons libres;Les neutrons libres
A-002-001-007;Silicon, in its pure form, is:;an insulator;a superconductor;a semiconductor;a conductor;Le silicium, sous sa forme pure, est :;un isolant;un supraconducteur;un semi-conducteur;un conducteur
A-002-001-008;An element which is sometimes an insulator and sometimes a conductor is called a:;semiconductor;intrinsic conductor;N-type conductor;P-type conductor;Un élément qui est tantôt un isolant et, tantôt, un conducteur s'appelle :;un semi-conducteur;un conducteur intrinsèque;un conducteur de type N;un conducteur de type P
A-002-001-009;Which of the following materials is used to make a semiconductor?;Silicon;Tantalum;Copper;Sulphur;Parmi les matériaux suivants, lequel sert à la fabrication d'un semi-conducteur :;silicium;tantale;cuivre;soufre
A-002-001-010;Substances such as silicon in a pure state are usually good:;insulators;conductors;tuned circuits;inductors;Les substances telles que le silicium à l'état pur sont généralement de :;bons isolants;bons conducteurs;bons circuits accordés;bonnes inductances
A-002-001-011;A semiconductor is said to be doped when it has added to it small quantities of:;impurities;protons;ions;electrons;Un semi-conducteur est dit dopé lorsqu'on lui a ajouté une faible quantité :;d'impuretés;de protons;d'ions;d'électrons
A-002-002-001;What is the principal characteristic of a Zener diode?;A constant voltage under conditions of varying current;A constant current under conditions of varying voltage;A negative resistance region;An internal capacitance that varies with the applied voltage;Quelle est la principale caractéristique de la diode Zener?;Une tension constante malgré les variations de courant;Un courant constant malgré les variations de tension;Une région de résistance négative;Une capacité interne qui varie selon la tension appliquée
A-002-002-002;What type of semiconductor diode varies its internal capacitance as the voltage applied to its terminals varies?;Varactor;Zener;Silicon-controlled rectifier;Hot-carrier (Schottky);Dans quel type de diode semi-conductrice la capacité interne varie-t-elle en même temps que la tension qui est appliquée à ses bornes?;Le varactor;La diode Zener;Le redresseur commandé au silicium ("SCR");La diode Schottky ("hot carrier")
A-002-002-003;What is a common use for the hot-carrier (Schottky) diode?;As VHF and UHF mixers and detectors;As balanced mixers in FM generation;As a variable capacitance in an automatic frequency control (AFC) circuit;As a constant voltage reference in a power supply;Dans quel genre de circuit la diode Schottky ("hot carrier") est-elle généralement employée?;Dans les mélangeurs et les détecteurs UHF et VHF;Dans les mélangeurs équilibrés utilisés en FM;Dans un circuit de commande automatique de fréquence ("AFC"), comme capacité variable;Dans un bloc d'alimentation, comme référence de tension constante
A-002-002-004;What limits the maximum forward current in a junction diode?;Junction temperature;Forward voltage;Back EMF;Peak inverse voltage;Qu'est-ce qui limite le courant maximal en polarisation directe d'une diode à jonction?;La température de la jonction;La tension directe;La force contre-électromotrice;La tension inverse de crête
A-002-002-005;What are the major ratings for junction diodes?;Maximum forward current and peak inverse voltage (PIV);Maximum reverse current and capacitance;Maximum forward current and capacitance;Maximum reverse current and peak inverse voltage (PIV);Quelles sont les principales caractéristiques nominales des diodes à jonction?;Le courant direct maximal et la tension inverse de crête;Le courant inverse maximal et la capacité;Le courant direct maximal et la capacité;Le courant inverse maximal et la tension inverse de crête
A-002-002-006;Structurally, what are the two main categories of semiconductor diodes?;Junction and point contact;Vacuum and point contact;Electrolytic and point contact;Electrolytic and junction;Sous l'angle de la structure physique, quelles sont les deux catégories de diodes à semi-conducteurs?;Les diodes à jonction et les diodes à point de contact;Les diodes à vide et les diodes à point de contact;Les diodes électrolytiques et les diodes à point de contact;Les diodes électrolytiques et les diodes à jonction
A-002-002-007;What is a common use for point contact diodes?;As an RF detector;As a constant current source;As a constant voltage source;As a high voltage rectifier;Quel est l'usage habituel des diodes à point de contact?;Détecteur de RF;Source de courant constant;Source de tension constante;Redresseur à haute tension
A-002-002-008;What is one common use for PIN diodes?;As an RF switch;As a constant current source;As a high voltage rectifier;As a constant voltage source;Quel est l'usage habituel des diodes PIN?;Commutateur RF;Source de courant constant;Redresseur de haute tension;Source de tension constante
A-002-002-009;A Zener diode is a device used to:;regulate voltage;dissipate voltage;decrease current;increase current;Une diode Zener est un composant qui sert à :;stabiliser une tension;dissiper une tension;diminuer un courant;augmenter un courant
A-002-002-010;If a Zener diode rated at 10 V and 50 watts was operated at maximum dissipation rating, it would conduct ____ amperes:;5;50;0.05;0.5;Si une diode Zener de 10 volts, 50 watts, est utilisée à sa valeur maximale de dissipation, le courant qui la traverse est de :;5 ampères;50 ampères;0,05 ampère;0,5 ampère
A-002-002-011;The power-handling capability of most Zener diodes is rated at 25 degrees C or approximately room temperature. If the temperature is increased, the power handling capability is:;less;the same;much greater;slightly greater;La puissance nominale de la plupart des diodes Zener est donnée pour une température de 25 degrés Celsius, soit environ la température de la pièce. Si la température augmente, la puissance utilisable est :;moins grande;la même;beaucoup plus grande;un peu plus grande
A-002-003-001;What is the alpha of a bipolar transistor?;The change of collector current with respect to emitter current;The change of collector current with respect to base current;The change of base current with respect to collector current;The change of collector current with respect to gate current;Qu'est-ce que le rapport alpha d'un transistor bipolaire?;Le changement de courant dans le collecteur par rapport au courant de l'émetteur;Le changement de courant dans le collecteur par rapport au courant de la base;Le changement de courant dans la base par rapport au courant du collecteur;Le changement de courant dans le collecteur par rapport au courant de la porte
A-002-003-002;What is the beta of a bipolar transistor?;The change of collector current with respect to base current;The change of base current with respect to emitter current;The change of collector current with respect to emitter current;The change of base current with respect to gate current;Qu'est-ce que le rapport bêta d'un transistor bipolaire?;Le changement de courant du collecteur par rapport au courant de la base;Le changement de courant de la base par rapport au courant de l'émetteur;Le changement de courant du collecteur par rapport au courant de l'émetteur;Le changement de courant de la base par rapport au courant de la porte
A-002-003-003;Which component conducts electricity from a negative emitter to a positive collector when its base voltage is made positive?;An NPN transistor;A varactor;A triode vacuum tube;A PNP transistor;Quel composant peut acheminer l'électricité d'un émetteur négatif à un collecteur positif lorsque le voltage à la base devient positif?;Un transistor NPN;Un varactor;Une triode à vide;Un transistor PNP
A-002-003-004;What is the alpha of a bipolar transistor in common base configuration?;Forward current gain;Forward voltage gain;Reverse current gain;Reverse voltage gain;Quel est le rapport alpha d'un transistor bipolaire en montage base commune?;Rapport de transfert (gain) direct du courant;Rapport de transfert (gain) direct en tension;Rapport de transfert (gain) inverse du courant;Rapport de transfert (gain) inverse en tension
A-002-003-005;In a bipolar transistor, the change of collector current with respect to base current is called:;beta;gamma;delta;alpha;Dans un transistor bipolaire, le changement dans le courant du collecteur par rapport au changement dans le courant de la base s'appelle :;bêta;gamma;delta;alpha
